timestamp,ip,user,attempts,status,hour,minute,ip_encoded,user_encoded,attempts_per_minute,time_diff,is_attack
2025-05-04 17:08:12,127.0.0.1,testuser,1,success,17,8,0,3,18,69.0,0
2025-05-04 17:08:13,127.0.0.1,user2,1,success,17,8,0,5,40,1.0,0
2025-05-04 17:08:27,127.0.0.1,user2,1,success,17,8,0,5,40,14.0,0
2025-05-04 17:09:11,127.0.0.1,testuser,1,success,17,9,0,3,18,44.0,0
2025-05-04 17:09:54,127.0.0.1,user2,1,success,17,9,0,5,40,43.0,0
2025-05-04 17:09:56,127.0.0.1,testuser,1,success,17,9,0,3,18,2.0,0
2025-05-04 17:11:07,127.0.0.1,user2,1,success,17,11,0,5,40,71.0,0
2025-05-04 17:11:27,127.0.0.1,user2,1,success,17,11,0,5,40,20.0,0
2025-05-04 17:11:51,127.0.0.1,user2,1,success,17,11,0,5,40,24.0,0
2025-05-04 17:11:59,127.0.0.1,user2,1,success,17,11,0,5,40,8.0,0
2025-05-04 17:12:21,127.0.0.1,user2,147,failed,17,12,0,5,40,22.0,0
2025-05-04 17:12:21,127.0.0.1,user2,148,failed,17,12,0,5,40,0.0,1
2025-05-04 17:12:21,127.0.0.1,user2,153,failed,17,12,0,5,40,0.0,1
2025-05-04 17:12:21,127.0.0.1,user2,150,failed,17,12,0,5,40,0.0,1
2025-05-04 17:12:21,127.0.0.1,user2,151,failed,17,12,0,5,40,0.0,1
2025-05-04 17:12:21,127.0.0.1,user2,152,failed,17,12,0,5,40,0.0,1
2025-05-04 17:12:21,127.0.0.1,user2,154,failed,17,12,0,5,40,0.0,1
2025-05-04 17:12:21,127.0.0.1,user2,155,failed,17,12,0,5,40,0.0,1
2025-05-04 17:12:21,127.0.0.1,user2,156,failed,17,12,0,5,40,0.0,1
2025-05-04 17:12:21,127.0.0.1,user2,157,failed,17,12,0,5,40,0.0,1
2025-05-04 17:12:21,127.0.0.1,user2,158,failed,17,12,0,5,40,0.0,1
2025-05-04 17:12:21,127.0.0.1,user2,149,failed,17,12,0,5,40,0.0,1
2025-05-04 17:12:24,127.0.0.1,user2,159,failed,17,12,0,5,40,3.0,1
2025-05-04 17:12:24,127.0.0.1,user2,160,failed,17,12,0,5,40,0.0,1
2025-05-04 17:13:58,127.0.0.1,user2,1,success,17,13,0,5,40,94.0,0
2025-05-04 17:16:44,127.0.0.1,user2,1,success,17,16,0,5,40,166.0,0
2025-05-04 17:17:11,127.0.0.1,user2,1,success,17,17,0,5,40,27.0,0
2025-05-04 17:18:31,127.0.0.1,user2,1,success,17,18,0,5,40,80.0,0
2025-05-04 17:21:00,127.0.0.1,user2,1,success,17,21,0,5,40,149.0,0
